Fiscal_Year,Library,County,AENGLC_Rank,Population_of_Service_Area,Total_Library_Visits,Total_Registered_Borrowers,Percent_of_Residents_with_Library_Cards,Reference_Questions,Total_Circulation,Total_Programs_(Synchronous_+_Prerecorded),Total_Program_Attendance_&_Views,Total_Collection,Total_Operating_Income,Town_Tax_Appropriation_for_Library,Tax_Appropriation_Per_Capita_Served,Wages_&_Salaries_Expenditures,Operating_Expenditures,Operating_Expenditures_Per_Capita,Visits_per_Borrower,References_per_Borrower,Population_Group,Log_Population,Program_Attendance_per_Capita
1996,Windham Free,Windham,167.0,,8230.0,596.0,0.03,102.0,8230.0,,,8512.0,27202.0,22600.0,1.03,13146.0,21971.0,1.0,13.808724832214764,0.17114093959731544,,,
1996,Windsor,Hartford,57.0,27960.0,238114.0,16767.0,0.6,33510.0,303288.0,462.0,12445.0,107890.0,1003019.0,947960.0,33.9,556446.0,742803.0,26.6,14.201347885727918,1.9985686169261048,Mediana,10.238565961087293,0.44510014306151646
1996,Windsor Locks,Hartford,66.0,11912.0,,4602.0,0.39,,44238.0,115.0,1841.0,50615.0,283171.0,247000.0,20.74,138775.0,191913.0,16.1,,,Mediana,9.38538551979936,0.1545500335795836
1996,Wolcott,New Haven,121.0,14293.0,43212.0,4375.0,0.31,,66740.0,164.0,2045.0,46132.0,251650.0,258331.0,18.07,132958.0,207891.0,14.5,9.877028571428571,,Mediana,9.567595147779924,0.1430770307143357
1996,Woodbridge,New Haven,15.0,8091.0,,10149.0,0.46,7793.0,170773.0,168.0,3338.0,61653.0,459095.0,417706.0,51.63,290099.0,410872.0,50.8,,0.7678589023549118,Pequeña,8.998631198287637,0.4125571622790755
1996,Woodbury,Litchfield,46.0,8611.0,,5905.0,0.69,12768.0,113053.0,286.0,6838.0,59997.0,272496.0,262184.0,30.45,159621.0,245008.0,28.5,,2.1622353937341234,Pequeña,9.060911858484253,0.7941005690396005
1996,Woodstock - Bracken,Windham,100.0,6303.0,3200.0,2146.0,0.34,6114.0,14680.0,40.0,1100.0,16570.0,12409.0,9042.0,1.43,5960.0,12392.0,2.0,1.4911463187325256,2.8490214352283316,Pequeña,8.748939631537715,0.17452006980802792
1996,"Woodstock, East",Windham,100.0,,2600.0,200.0,0.03,500.0,6981.0,,,11407.0,11050.0,9042.0,1.43,3700.0,10684.0,1.7,13.0,2.5,,,
1997,Andover,Tolland,109.0,2782.0,15000.0,1676.0,0.6,414.0,17369.0,68.0,841.0,15534.0,61580.0,56570.0,20.33,33442.0,48173.0,17.3,8.949880668257757,0.24701670644391407,Pequeña,7.931284761525891,0.3023005032350827
1997,Ashford-Babcock,Windham,135.0,4041.0,12575.0,1384.0,0.34,448.0,32794.0,22.0,1253.0,24096.0,113989.0,106710.0,26.41,63816.0,94533.0,23.4,9.085982658959537,0.3236994219653179,Pequeña,8.304494897963567,0.3100717644147488
1997,Avon,Hartford,18.0,14265.0,166663.0,8911.0,0.62,18386.0,224958.0,258.0,9199.0,74915.0,720122.0,644797.0,45.2,372057.0,592507.0,41.5,18.70306362922231,2.063292559757603,Mediana,9.565634362837983,0.6448650543287767
1997,Beacon Falls,New Haven,121.0,5368.0,8000.0,1517.0,0.28,550.0,9532.0,44.0,460.0,6800.0,54202.0,34886.0,6.5,26969.0,44941.0,8.4,5.273566249176005,0.36255767963085034,Pequeña,8.58839695042257,0.08569299552906111
1997,Berlin-Peck,Hartford,48.0,16795.0,109388.0,6975.0,0.42,6490.0,227840.0,390.0,9304.0,92443.0,651974.0,663294.0,39.49,340727.0,505201.0,30.1,15.682867383512544,0.9304659498207886,Mediana,9.728896041804084,0.5539743971420066
1997,Bethany - Clark,New Haven,53.0,4878.0,19700.0,3217.0,0.66,650.0,50448.0,46.0,405.0,33706.0,70444.0,57302.0,11.75,32297.0,53370.0,10.9,6.123717749456015,0.20205160087037613,Pequeña,8.492695559815838,0.08302583025830258
1997,Bethel,Fairfield,71.0,18101.0,155261.0,12369.0,0.68,16731.0,145882.0,172.0,4864.0,85714.0,446832.0,421755.0,23.3,252429.0,422982.0,23.4,12.552429460748646,1.352655833131215,Mediana,9.803777708387116,0.26871443566653774
1997,Bethlehem,Litchfield,65.0,3397.0,17478.0,2379.0,0.7,2286.0,32686.0,45.0,790.0,23210.0,69847.0,60000.0,17.66,38830.0,50834.0,15.0,7.346784363177806,0.9609079445145019,Pequeña,8.130942302231878,0.23255813953488372
1997,Bloomfield - Prosser,Hartford,61.0,18477.0,,9037.0,0.49,18844.0,217113.0,586.0,11788.0,119763.0,802922.0,777534.0,42.08,599947.0,773875.0,41.9,,2.0852052672347017,Mediana,9.824336114230691,0.6379823564431455
1997,Bolton - Bentley,Tolland,90.0,4665.0,20800.0,3829.0,0.82,702.0,41972.0,97.0,1411.0,35230.0,144856.0,140948.0,30.21,96563.0,139748.0,30.0,5.432227735701227,0.18333768607991643,Pequeña,8.448057452581375,0.30246516613076097
1997,Branford - Blackstone,New Haven,50.0,28123.0,86500.0,24111.0,0.86,5832.0,172722.0,400.0,5928.0,84499.0,661421.0,467509.0,16.62,404943.0,547452.0,19.5,3.5875741362863423,0.24188129899216126,Mediana,10.244378583319053,0.21078832272517156
1997,Branford - Willoughby,New Haven,50.0,,17000.0,1563.0,0.06,5000.0,45294.0,35.0,6660.0,23575.0,125013.0,106711.0,3.79,72630.0,115055.0,4.1,10.876519513755598,3.198976327575176,,,
1997,Bridgeport,Fairfield,168.0,13145.0,56297.0,5261.0,0.27,5832.0,411044.0,569.0,9921.0,58039.0,473641.5,386715.0,23.56,281623.0,470742.5,22.1,10.700817335107393,1.1085344991446493,Mediana,9.483872808823522,0.7547356409281095
1997,Bridgewater - Burnham,Litchfield,21.0,1729.0,15416.0,1025.0,0.59,,21333.0,270.0,300.0,28360.0,82614.0,47875.0,27.69,50853.0,70746.0,40.9,15.04,,Pequeña,7.455876687491824,0.1735106998264893
